housemate,season,positive,special,description,imageURL
Makoto Hasegawa,Boys & Girls in the City,FALSE,FALSE,Mizuki calls you out at 3am.,
Makoto Hasegawa,Boys & Girls in the City,FALSE,FALSE,You buy Minori fancy shoes but she still doesn't fancy you.,
Minori Nakada,Boys & Girls in the City,TRUE,FALSE,You get free a free pair of shoes from Makoto.,
Minori Nakada,Boys & Girls in the City,FALSE,FALSE,You cook Uchi's sepcial meat (it was a little too fatty for your taste).,
Minori Nakada,Boys & Girls in the City,TRUE,FALSE,You meet the living legend Seina.,
Minori Nakada,Boys & Girls in the City,TRUE,FALSE,You christen the Japanese style room with Uchi.,
Minori Nakada,Boys & Girls in the City,FALSE,FALSE,You have a house meeting and everyone begs you to stop sleeping in the living room.,
Yuki Adachi,Boys & Girls in the City,TRUE,FALSE,You manage to make tap dancing look quite cool.,
Yuki Adachi,Boys & Girls in the City,FALSE,FALSE,Everyone spells your name wrong on your birthday.,
Yuki Adachi,Boys & Girls in the City,FALSE,FALSE,You spend big bucks taking Yuriko to the blue note.,
Mizuki Shida,Boys & Girls in the City,TRUE,FALSE,... visits you at work.,
Mizuki Shida,Boys & Girls in the City,TRUE,FALSE,You call out Makoto for being weird with Minori.,
Mizuki Shida,Boys & Girls in the City,FALSE,FALSE,Your dream isn't good enough for tap.,
Tatsuya Uchihara,Boys & Girls in the City,FALSE,FALSE,You have been branded a coward.,
Tatsuya Uchihara,Boys & Girls in the City,TRUE,FALSE,A loyal customer gives you some amazing meat.,
Tatsuya Uchihara,Boys & Girls in the City,TRUE,FALSE,Uchi week goes off without a hitch.,
Tatsuya Uchihara,Boys & Girls in the City,TRUE,FALSE,You christen the Japanese style room with Minori.,
Yuriko Hayata,Boys & Girls in the City,TRUE,FALSE,You get a free trip to the blue note (thanks Tap).,
Yuriko Hayata,Boys & Girls in the City,FALSE,FALSE,You get rejected by your ex on tv.,
Arman Bitaraf,Boys & Girls in the City,TRUE,FALSE,You beat everyone in the house in a doggy paddle race.,
Arman Bitaraf,Boys & Girls in the City,FALSE,FALSE,You've been hit by a car and feel the need to apologise.,
Arman Bitaraf,Boys & Girls in the City,FALSE,FALSE,Arisa sees you as more of a brother.,
Arman Bitaraf,Boys & Girls in the City,FALSE,FALSE,You're hungover at a themepark.,
Arman Bitaraf,Boys & Girls in the City,FALSE,FALSE,You try to tell Martha how you feel but keep getting interrupted by a boat.,
