housemateName,nickname,season,weeksInHouse,livedWith,dates,instagramFollowers,ageWhenEntered,dob,ageNow,housemateTagline,imageURL
Ami Komuro,,Opening New Doors,17,7,0,292000,21,1/19/1997,25,Wishes you were five years younger.,#ERROR!
Yuudai Arai,,Opening New Doors,9,5,0,133,19,4/8/1998,24,,/yuudaiarai.png
Mizuki Haruta,,Opening New Doors,9,5,0,100000,26,6/30/1991,30,,/mizukiharuta.png
Takayuki Nakamura,Taka,Opening New Doors,34,12,0,141000,31,5/25/1986,35,,/takayukinakamura.png
Tsubasa Sato,,Opening New Doors,21,8,0,237000,25,9/28/1993,28,,/tsubasasato.png
Shion Okamoto,,Opening New Doors,21,8,0,173000,23,1/13/1995,27,,/shionokamoto.png
Shohei Uemura,,Opening New Doors,22,10,0,87900,28,7/16/1989,32,,/shoheiuemura.png
Seina Shimabukuro,,Opening New Doors,25,10,0,826000,30,4/4/1987,35,,/seinashimabukuro.png
Mayu Koseta,,Opening New Doors,10,5,0,93200,23,11/12/1994,27,,/mayukoseta.png
Yui Tanaka,,Opening New Doors,28,13,6,140000,21,12/24/1996,25,,/yuitanaka.png
Noah Ishikura,,Opening New Doors,13,7,0,171000,21,11/19/1996,25,,/noahishikura.png
Aya Matarai,,Opening New Doors,13,9,1,159000,20,12/29/1997,24,,/ayamatarai.png
Shunsuke Ikezoe,,Opening New Doors,7,8,1,40800,21,4/27/1997,24,,/shunsukeikezoe.png
Kaito Nakata,,Opening New Doors,15,8,5,67500,20,9/12/1997,24,,/kaitonakata.png
Maya Kisanuki,,Opening New Doors,15,8,3,155000,19,8/16/1998,23,,/mayakisanuki.png
Sota Kono,,Opening New Doors,8,7,2,21800,25,11/5/1992,29,,/sotakono.png
Aio Fukuda,,Opening New Doors,19,6,3,33200,23,12/18/1994,27,,/aiofukuda.png
Risako Tanigawa,,Opening New Doors,12,6,5,181000,28,5/29/1990,31,,/risakotanigawa.png
Masao Wada,,Opening New Doors,8,5,4,69600,31,2/20/1987,35,Makes a banging curry.,/masaowada.png
Kaori Watanabe,,Tokyo 19/20,20,8,4,421000,28,6/25/1990,31,,/kaoriwatanabe.png
Shohei Matsuzaki,,Tokyo 19/20,18,7,5,109000,25,10/9/1993,28,,/shoheimatsuzaki.png
Haruka Okuyama,,Tokyo 19/20,25,9,8,159000,24,3/24/1995,27,,/harukaokuyama.png
Kenji Yoshihara,Kenny,Tokyo 19/20,14,5,5,120000,31,6/2/1987,34,,/kenjiyoshihara.png
Risako Tanabe,,Tokyo 19/20,14,5,4,235000,21,1/14/1998,24,,/risakotanabe.png
Ruka Nishinoiri,,Tokyo 19/20,25,9,5,161000,20,12/1/1998,23,,/rukanishinoiri.png
Emika Mizukoshi,,Tokyo 19/20,21,7,5,222000,21,2/1/1998,24,,/emikamizukoshi.png
Giuseppe Durato,Peppe,Tokyo 19/20,13,7,4,167000,27,12/24/1992,29,,/giuseppedurato.png
Ryo Tawatari,,Tokyo 19/20,15,6,3,94500,26,6/29/1993,28,,/ryotawatari.png
Hana Kimura,,Tokyo 19/20,23,13,1,188000,21,9/3/1997,24,,/hanakimura.png
Violetta Razdumina,Vivi,Tokyo 19/20,17,10,1,313000,24,10/4/1995,26,,/violettarazdumina.png
Kai Kobayashi,,Tokyo 19/20,14,9,1,54700,25,8/15/1994,27,,/kaikobayashi.png
John Kimverlu Tupas,Tupas,Tokyo 19/20,9,6,0,41600,22,1/13/1997,25,,/johnkimverlutupas.png
Toshiyuki Niino,Boss,Tokyo 19/20,10,9,0,83500,30,10/21/1989,32,,/toshiyukiniino.png
Yume Hayashi,,Tokyo 19/20,9,7,0,487000,24,10/18/1995,26,,/yumehayashi.png
Shion Suzuki,,Tokyo 19/20,9,7,0,65800,22,2/1/1997,25,,/shionsuzuki.png
Reo Kanao,,Tokyo 19/20,4,6,0,78800,27,6/24/1992,29,,/reokanao.png
Monroe Ron,,Tokyo 19/20,1,5,0,315000,24,7/31/1995,26,,/monroeron.png
Makoto Hasegawa,,Boys & Girls in the City,11,5,0,0,22,11/21/1993,28,,/makotohasegawa.png
Minori Nakada,,Boys & Girls in the City,24,9,0,156000,21,2/1/1994,28,,/minorinakada.png
Yuki Adachi,Tap,Boys & Girls in the City,17,7,0,16200,27,8/19/1987,34,,/yukiadachi.png
Mizuki Shida,,Boys & Girls in the City,17,7,0,129000,22,12/8/1992,29,,/mizukishida.png
Tatsuya Uchihara,Uchi,Boys & Girls in the City,24,9,0,43100,23,12/22/1991,30,,/tatsuyauchihara.png
Yuriko Hayata,,Boys & Girls in the City,13,6,0,67400,23,4/6/1992,30,,/yurikohayata.png
Arman Bitaraf,,Boys & Girls in the City,36,16,0,114000,24,12/4/1990,31,,/armanbitaraf.png
Arisa Ohata,,Boys & Girls in the City,16,9,0,112000,25,10/5/1990,31,,/arisaohata.png
Hikaru Ota,,Boys & Girls in the City,14,7,0,93000,18,3/1/1997,25,,/hikaruota.png
Natsumi Saito,,Boys & Girls in the City,14,7,0,32900,26,7/25/1989,32,,/natsumisaito.png
Misaki Tamori,,Boys & Girls in the City,23,10,0,1538,23,6/25/1992,29,,/misakitamori.png
Yuto Handa,Hansan,Boys & Girls in the City,11,8,0,232000,27,11/11/1988,33,,/yutohanda.png
Riko Nagai,,Boys & Girls in the City,18,9,0,137000,18,12/21/1997,24,,/rikonagai.png
Momoka Mitsunaga,,Boys & Girls in the City,8,6,0,3667,20,5/11/1995,26,,/momokamitsunaga.png
Hayato Terashima,,Boys & Girls in the City,15,6,0,28700,29,1/27/1987,35,,/hayatoterashima.png
Yuuki Byrnes,,Boys & Girls in the City,11,6,0,35800,23,12/27/1992,29,,/yuukibyrnes.png
Masako Endo,Martha,Boys & Girls in the City,8,5,0,141000,23,8/9/1993,28,,/masakoendo.png
Lauren Tsai,,Aloha State,17,8,0,989000,18,2/11/1998,24,,/laurentsai.png
Yuya Shibusawa,,Aloha State,22,9,0,67500,18,1/20/1998,24,,/yuyashibusawa.png
Avian Ku,,Aloha State,22,9,0,182000,26,9/4/1990,31,,/avianku.png
Eric De Mendonca,,Aloha State,12,7,0,42500,27,8/11/1989,32,,/ericdemendonca.png
Naomi Lorraine Frank,,Aloha State,10,5,0,70700,23,1/9/1993,29,,/naomilorrainefrank.png
Yusuke Aizawa,Eden Kai,Aloha State,10,5,0,105000,18,9/24/1998,23,,/yusukeaizawa.png
Anna Haneishi,,Aloha State,16,9,0,92700,22,9/13/1994,27,,/annahaneishi.png
Taishi Tamaki,Guilty Samurai,Aloha State,27,13,0,105000,29,6/21/1987,34,,/taishitamaki.png
Guy Sato,,Aloha State,19,10,0,213000,20,11/17/1996,25,,/guysato.png
Niki Niwa,,Aloha State,9,7,0,774000,20,10/15/1996,25,,/nikiniwa.png
Cheri Maria Sumikawa Lavoie,Cheri,Aloha State,15,9,0,13500,25,3/24/1991,31,,/cherimariasumikawalavoie.png
Wesley Nakajima,Wes,Aloha State,15,9,0,0,29,3/1/1988,34,,/wesleynakajima.png
Jennifer Mila Hasegawa,Mila,Aloha State,6,5,0,59200,19,7/7/1997,24,,/jennifermilahasegawa.png
Chikako Fukuyama,,Aloha State,11,7,0,144000,28,11/8/1988,33,,/chikakofukuyama.png
Mariko Nitta,,Aloha State,7,5,0,12500,25,9/18/1991,30,,/marikonitta.png
Ryo Sekikawa,,Aloha State,7,5,0,29400,26,12/7/1990,31,,/ryosekikawa.png
Tetsuya Sugaya,Tecchan,Boys & Girls Next Door,98,21,0,41400,,7/28/1993,28,,/tetsuyasugaya.png
Seina Shimabukuro,,Boys & Girls Next Door,62,18,2,826000,,4/4/1987,35,,/seinashimabukuro.png
Rie Kitahara,Ricchan,Boys & Girls Next Door,12,5,0,193000,,6/24/1991,30,,/riekitahara.png
Masato Yukawa,Makun,Boys & Girls Next Door,12,5,0,61600,,1/10/1992,30,,/masatoyukawa.png
Shota Nakatsugawa,,Boys & Girls Next Door,15,5,0,4381,,11/18/1987,34,,/shotanakatsugawa.png
Momoko Takeuchi,Momo,Boys & Girls Next Door,25,8,0,31900,,6/14/1991,30,,/momokotakeuchi.png
Hana Imai,,Boys & Girls Next Door,24,7,1,594000,,11/12/1992,29,,/hanaimai.png
Dyki Miyagi,,Boys & Girls Next Door,45,11,1,149000,,1/23/1990,32,,/dykimiyagi.png
Tetsuya Iwanaga,Oji,Boys & Girls Next Door,19,7,1,0,,10/16/1986,35,,/tetsuyaiwanaga.png
Aya Kondou,Darimon,Boys & Girls Next Door,11,6,0,103000,,11/10/1991,30,,/ayakondou.png
Miwako Kakei,Michan,Boys & Girls Next Door,32,9,0,962000,,3/6/1994,28,,/miwakokakei.png
Midori Takechi,,Boys & Girls Next Door,11,5,0,61800,,8/20/1992,29,,/midoritakechi.png
Rina Sumioka,,Boys & Girls Next Door,26,8,0,36300,,2/15/1990,32,,/rinasumioka.png
